command,scope,metric,bytes,dimensions_json
002-sizes-1000000-1000000-512-1,clearing activity disclosure:,core,16,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000""}"
002-sizes-1000000-1000000-512-1,clearing activity disclosure:,value,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000""}"
002-sizes-1000000-1000000-512-1,clearing activity disclosure:,account_change,80,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,identical_dealing,102750004,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,dealt_egress,10275000400,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,integrated_commitment,32,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,root_bundle,184,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,withdrawal_total,8,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,descriptor,192,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,certificate,69,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,header_certificate,101,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,header_roots_withdrawal_total_certificate,293,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing sizes:,entry_receipt,305,"{""A"":""1000000"",""B"":""512"",""E"":""1000000"",""K"":""1"",""N"":""1000000"",""rows"":""1000000"",""validators"":""100""}"
002-sizes-1000000-1000000-512-1,clearing empty payout epoch:,commit_opening,43,"{""W"":""0"",""commit_position"":""1"",""history_outputs"":""0"",""operations"":""2""}"
002-sizes-1000000-1000000-512-1,clearing empty payout epoch:,root,48,"{""W"":""0"",""commit_position"":""1"",""history_outputs"":""0"",""operations"":""2""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,request,199,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,output,30,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
