command,scope,metric,bytes,dimensions_json
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,activity_append,132000000,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,encoded_dealing,102750004,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_cache_budget,1073741824,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_logical_page,4084,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_payout_write_buffer,8388608,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_physical_page,4096,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_private_write_replay_buffer,8388608,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_replay_buffer,8388608,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,native_state_activity_write_buffer,268435456,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,payout_output,0,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
002-ack-N1000000-A1000000-B512-K1-W0-H0-timed,durable_ack metadata,withdrawal_output,0,"{""a"":1000000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,activity_append,13200000,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,encoded_dealing,10274964,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_cache_budget,1073741824,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_logical_page,4084,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_payout_write_buffer,8388608,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_physical_page,4096,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_private_write_replay_buffer,8388608,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_replay_buffer,8388608,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,native_state_activity_write_buffer,268435456,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,payout_output,0,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
003-ack-N1000000-A100000-B512-K1-W0-H0-timed,durable_ack metadata,withdrawal_output,0,"{""a"":100000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,activity_append,1320000,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,encoded_dealing,1027491,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_cache_budget,1073741824,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_logical_page,4084,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_payout_write_buffer,8388608,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_physical_page,4096,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_private_write_replay_buffer,8388608,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_replay_buffer,8388608,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
004-ack-N1000000-A10000-B512-K1-W0-H0-timed,durable_ack metadata,native_state_activity_write_buffer,268435456,"{""a"":10000,""b"":512,""backend"":""tokio_filesystem"",""boundary"":""encoded_dealing_to_seal_and_production_persist_candidate_return"",""h"":0,""k"":1,""n"":1000000,""native_strategy"":""rayon_adaptive"",""native_worker_pools"":1,""public_store_concurrency"":3,""runtime_workers"":2,""w"":0,""workers"":16}"
