policy,value,run,phase,items,rss,block_size,pages,live_block_bytes,initialized_block_capacity_bytes,reserved_block_capacity_bytes
slabs,u64,1,before_collect,3906250,86654976,8,1,8,4096,65528
slabs,u64,1,before_collect,3906250,86654976,64,1,192,4096,65472
slabs,u64,1,before_collect,3906250,86654976,640,1,640,3840,65280
slabs,u64,1,before_collect,3906250,86654976,80,1,4080,4080,65520
slabs,u64,1,before_collect,3906250,86654976,2048,1091,68032512,71499776,71499776
slabs,u64,1,before_collect,3906250,86654976,16,1,16,4096,65520
slabs,u64,1,before_collect,3906250,86654976,112,1,112,4032,65520
slabs,u64,1,before_collect,3906250,86654976,32,1,416,4096,65504
slabs,u64,1,before_collect,3906250,86654976,1024,1,2048,4096,65536
slabs,u64,1,before_collect,3906250,86654976,2359296,1,2359296,2359296,2359296
slabs,u64,1,before_collect,3906250,86654976,8192,1,8192,16384,65536
slabs,u64,1,before_collect,3906250,86654976,96,87,5670624,5670912,5696064
slabs,u64,1,before_collect,3906250,86654976,16384,1,16384,32768,524288
slabs,u64,1,before_collect,3906250,86654976,384,1,384,3840,65280
slabs,u64,1,before_collect,3906250,86654976,32768,1,32768,65536,524288
slabs,u64,1,before_collect,3906250,86654976,65536,1,65536,131072,524288
slabs,u64,1,before_collect,3906250,86654976,131072,1,131072,131072,4194304
slabs,u64,1,before_collect,3906250,86654976,128,1,0,4096,65408
slabs,u64,1,before_collect,3906250,86654976,256,1,0,4096,65280
slabs,u64,1,before_collect,3906250,86654976,512,1,0,4096,65024
slabs,u64,1,after_collect,3906250,86654976,8,1,8,4096,65528
slabs,u64,1,after_collect,3906250,86654976,64,1,192,4096,65472
slabs,u64,1,after_collect,3906250,86654976,640,1,640,3840,65280
slabs,u64,1,after_collect,3906250,86654976,80,1,4080,4080,65520
slabs,u64,1,after_collect,3906250,86654976,2048,1091,68032512,71499776,71499776
slabs,u64,1,after_collect,3906250,86654976,16,1,16,4096,65520
slabs,u64,1,after_collect,3906250,86654976,112,1,112,4032,65520
slabs,u64,1,after_collect,3906250,86654976,32,1,416,4096,65504
slabs,u64,1,after_collect,3906250,86654976,1024,1,2048,4096,65536
slabs,u64,1,after_collect,3906250,86654976,2359296,1,2359296,2359296,2359296
slabs,u64,1,after_collect,3906250,86654976,8192,1,8192,16384,65536
slabs,u64,1,after_collect,3906250,86654976,96,87,5670624,5670912,5696064
slabs,u64,1,after_collect,3906250,86654976,16384,1,16384,32768,524288
slabs,u64,1,after_collect,3906250,86654976,384,1,384,3840,65280
slabs,u64,1,after_collect,3906250,86654976,32768,1,32768,65536,524288
slabs,u64,1,after_collect,3906250,86654976,65536,1,65536,131072,524288
slabs,u64,1,after_collect,3906250,86654976,131072,1,131072,131072,4194304
slabs,u64,2,before_collect,3906250,86654976,8,1,8,4096,65528
slabs,u64,2,before_collect,3906250,86654976,64,1,192,4096,65472
slabs,u64,2,before_collect,3906250,86654976,640,1,640,3840,65280
slabs,u64,2,before_collect,3906250,86654976,80,1,4080,4080,65520
slabs,u64,2,before_collect,3906250,86654976,2048,1091,68032512,71499776,71499776
slabs,u64,2,before_collect,3906250,86654976,16,1,16,4096,65520
